"","id","start_date","lat","lon","l1","l2","rooms","surface_total","surface_covered","price","currency","property_type","operation_type","fondo"
"554","4DmkSxbZwgJMCEWlJMJ4Jw==","2019-01-20",-34.63395,-58.4627529,"Argentina","Capital Federal",2,31,29,9500,"ARS","Departamento","Alquiler",2
"1446","Rzn4L21RXUKdGwkBjDme5w==","2019-05-04",-34.5949733,-58.4051957,"Argentina","Capital Federal",2,40,40,11900,"ARS","Departamento","Alquiler",0
"111","2BlaZoW0yRRpodo9jWVa9w==","2019-06-02",-34.5917134021,-58.4072591324,"Argentina","Capital Federal",NA,36,36,11500,"ARS","Departamento","Alquiler",0
"1428","3rPJN2fGAZPg7owfTESYkg==","2019-03-16",-34.5778405,-58.4770501,"Argentina","Capital Federal",3,57,50,16000,"ARS","Departamento","Alquiler",7
"532","qz7kMSgjn5fCHDs0qBmKnA==","2019-03-26",-34.569664,-58.48579407,"Argentina","Capital Federal",1,40,36,14000,"ARS","Departamento","Alquiler",4
"1530","xeMinQkqvXD0go9Mk9Ygqg==","2019-04-05",-34.5928998,-58.3870274,"Argentina","Capital Federal",3,75,65,20000,"ARS","Departamento","Alquiler",10
"556","qDbbodc56wXiVCF3W17jyw==","2019-01-20",-34.5967191,-58.4018293,"Argentina","Capital Federal",3,60,55,17000,"ARS","Departamento","Alquiler",5
"889","+RNgbrVTgw4B7C2OSlfjvg==","2019-01-28",-34.570884,-58.4886936,"Argentina","Capital Federal",1,37,32,9800,"ARS","Departamento","Alquiler",5
"343","bg6ZKx0lY3Z0YuUX9qSwUg==","2019-04-07",-34.6343121924,-58.4697824693,"Argentina","Capital Federal",3,60,60,14000,"ARS","Departamento","Alquiler",0
"582","N4ChkZYrn4x8XU4Skx+SAg==","2019-04-02",-34.600963,-58.405294,"Argentina","Capital Federal",2,34,34,15500,"ARS","Departamento","Alquiler",0
"1145","kMs6FoBTyI/1Cr6MOTQEmA==","2019-01-10",-34.570884,-58.4886936,"Argentina","Capital Federal",3,90,90,18500,"ARS","PH","Alquiler",0
"40","ZX7/d3dbzhErnwU4bovauA==","2019-01-05",-34.576206,-58.489385,"Argentina","Capital Federal",2,42,37,15300,"ARS","Departamento","Alquiler",5
"1708","gNCjOoc17k1Fx5TrYXTJuw==","2019-03-29",-34.6006386621,-58.398736891,"Argentina","Capital Federal",2,48,45,12000,"ARS","Departamento","Alquiler",3
"537","WRKqGwE0KlE/tACDI6ALJg==","2019-05-18",-34.6376195,-58.4594589,"Argentina","Capital Federal",2,50,50,13500,"ARS","Departamento","Alquiler",0
"375","H0GtfltKvnvMoHiRzzk7DA==","2019-01-06",-34.5985323877,-58.4119440882,"Argentina","Capital Federal",2,45,42,15500,"ARS","Departamento","Alquiler",3
"248","0KN25CYbQICNOHwyOP+pAg==","2019-06-09",-34.571181,-58.479603,"Argentina","Capital Federal",2,47,41,15500,"ARS","Departamento","Alquiler",6
"1222","wvOWH1IkCp8jE/1lFfUMuQ==","2019-01-08",-34.5872214,-58.40687,"Argentina","Capital Federal",4,85,81,19000,"ARS","Departamento","Alquiler",4
"378","/xVApEzeYNZoJaZQtFKVMw==","2019-01-06",-34.5832809,-58.4021775,"Argentina","Capital Federal",3,100,90,25000,"ARS","Departamento","Alquiler",10
"39","YiyNNHQQlqiDN+YFGe4qIA==","2019-01-05",-34.5863983,-58.4181898,"Argentina","Capital Federal",2,45,41,12000,"ARS","Departamento","Alquiler",4
"435","cyp5n35mKzA9SvhCLaw17A==","2019-03-13",-34.6345176716,-58.4675695546,"Argentina","Capital Federal",2,44,44,10500,"ARS","Departamento","Alquiler",0
"810","GPZ5hY+7AdFgN07IvCrf0A==","2019-03-20",-34.6308612,-58.4664247,"Argentina","Capital Federal",2,42,42,10000,"ARS","Departamento","Alquiler",0
"1414","0wVlspe6ybcAqXO1H8s7+A==","2019-01-11",-34.617742233,-58.4763167688,"Argentina","Capital Federal",2,42,35,8000,"ARS","Departamento","Alquiler",7
"1304","ZKY5P9iosAJMvDqMIjIqrA==","2019-04-16",-34.5729256,-58.4799238,"Argentina","Capital Federal",1,34,30,11000,"ARS","Departamento","Alquiler",4
"1696","uJhrVn0GNWz2ySLRoR8whw==","2019-04-23",-34.5940263,-58.3998853,"Argentina","Capital Federal",3,75,75,26000,"ARS","Departamento","Alquiler",0
"526","PQ3lUbi69wrZ0kgAY+5ArQ==","2019-01-25",-34.570916,-58.480616,"Argentina","Capital Federal",4,73,73,20000,"ARS","Departamento","Alquiler",0
"642","LPNEYLbRsM9f8FZtEV5rpA==","2019-02-13",-34.5981118,-58.4007837,"Argentina","Capital Federal",2,36,36,13000,"ARS","Departamento","Alquiler",0
"1069","p/No55E59lzEB98lYJ4tsQ==","2019-06-15",-34.5925835,-58.409799,"Argentina","Capital Federal",3,84,75,24900,"ARS","Departamento","Alquiler",9
"1426","jOWxl5wCmmj81YA0nybOsg==","2019-03-16",-34.6175179,-58.40793,"Argentina","Capital Federal",2,46,40,12000,"ARS","Departamento","Alquiler",6
"22","UYCUFz3IO/mMM5JwDOJi/A==","2019-02-06",-34.633903,-58.4657453,"Argentina","Capital Federal",1,47,43,10500,"ARS","Departamento","Alquiler",4
"1742","qODAN7IJB/6IoJaQ5yDlEQ==","2019-02-14",-34.5829542,-58.405725,"Argentina","Capital Federal",1,37,34,11400,"ARS","Departamento","Alquiler",3
"1766","gESZtTWNcZvE9hIDMVxAYQ==","2019-05-10",-34.5905898,-58.4051219,"Argentina","Capital Federal",3,75,72,23000,"ARS","Departamento","Alquiler",3
"193","9a46Z/X6v5ZQ7pyjzyIEWg==","2019-03-11",-34.6284954,-58.4665955,"Argentina","Capital Federal",2,44,40,11200,"ARS","Departamento","Alquiler",4
